replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
1154,assignment_isolation,plus_one_randomisation,True,ok,-83.7127365836276,2.946676975093721,-78.93521515625454,-89.38644053912884,33.521039758819136,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00707597548895202,24,24,24,0,0.0,{},0.7972646328253399,0.6970695970695971,0.0,False,True,True,False,False,False,0.0,-78.93521515625454,-89.38644053912884,-78.93521515625454,95.91666666666667,1.1615043593607262,0.48854003171569915,True,0.5046996840294073,False,0.016666666666666607,False,False,0.6516181559948301,0.016666666666666607,True,True,0.2693173023617023,0.04447060416131802,-10.849363735166435,False,diagnostic_failure
1155,assignment_isolation,plus_one_randomisation,True,ok,-87.64790756743677,2.1715299066432223,-84.00378086791143,-91.61311453733471,33.759440354074584,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007068353228532088,24,24,24,0,0.0,{},0.8121666666666666,0.7416666666666667,0.0,False,True,True,False,False,False,0.0,-84.00378086791143,-91.61311453733471,-84.00378086791143,97.83333333333333,1.1801220166913984,0.529319493819334,True,0.5229520538177929,False,0.019791666666666652,False,False,0.6631975797104461,0.019791666666666652,True,True,0.5889272077477964,0.11911207280511452,-12.478070452088447,False,diagnostic_failure
1156,assignment_isolation,plus_one_randomisation,True,ok,-82.189719470406,2.1152940115007586,-78.55519333315382,-86.1780626206898,32.75074064661845,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007095455062540132,24,24,24,0,0.0,{},0.7999576977255549,0.749810606060606,0.0,False,True,True,False,False,False,0.0,-78.55519333315382,-86.1780626206898,-78.55519333315382,97.08333333333333,1.1448371760739222,0.49810864766512075,True,0.5270844442247803,False,0.02430555555555558,False,False,0.6500869309955454,0.02430555555555558,True,True,-1.491538042604948,0.17568740113463058,-11.96139272645037,False,diagnostic_failure
1157,assignment_isolation,plus_one_randomisation,True,ok,-83.2875162422009,3.496647109299,-77.62921774473641,-89.53658948654694,33.29134044808917,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007054598768969202,24,24,24,0,0.0,{},0.7825181159420289,0.7037590579710143,0.0,False,True,True,False,False,False,0.0,-77.62921774473641,-89.53658948654693,-77.62921774473641,94.95833333333333,1.1443006544813852,0.514038943263821,True,0.5144060817657751,False,0.017708333333333326,False,False,0.655445694208173,0.017708333333333326,True,True,-0.7281355393810256,0.20941256998521732,-13.5621540944483,False,diagnostic_failure
1158,assignment_isolation,plus_one_randomisation,True,ok,-89.69054203711828,2.8897736666072333,-84.32928814474712,-94.62413686738164,34.108729932144364,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007056898204700832,24,24,24,0,0.0,{},0.7947699652777779,0.703046594982079,0.0,False,True,True,False,False,False,0.0,-84.32928814474712,-94.62413686738164,-84.32928814474712,95.375,1.1753485638774583,0.5213101032298754,True,0.5152205463725655,False,0.015277777777777835,False,False,0.6733316824247076,0.015277777777777835,True,True,0.6064852338246275,0.19933460758047666,-13.266837626204381,False,diagnostic_failure
1159,assignment_isolation,plus_one_randomisation,True,ok,-84.33594750669273,3.03905565864044,-79.27485671609716,-89.51743007869877,33.26182851444858,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00707256021731118,24,24,24,0,0.0,{},0.8228114478114478,0.7454119850187266,0.0,False,True,True,False,False,False,0.0,-79.27485671609716,-89.51743007869875,-79.27485671609716,97.75,1.162923539259511,0.5142628567959507,True,0.5249757718319019,False,0.029861111111111116,False,False,0.6540348880560307,0.029861111111111116,True,True,-0.5056343807433165,0.15575743516647322,-14.0933265718999,False,diagnostic_failure
1160,assignment_isolation,plus_one_randomisation,True,ok,-85.29574619565878,2.6420876657200276,-81.27846017171446,-90.00311051083752,33.79576058988175,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007038314068754674,24,24,24,0,0.0,{},0.8049638605442176,0.6802681992337165,0.0,False,True,True,False,False,False,0.0,-81.27846017171446,-90.00311051083752,-81.27846017171446,95.83333333333333,1.164284641924243,0.49769630720901714,True,0.4911698326698581,False,0.01909722222222232,False,False,0.6579616728055169,0.01909722222222232,True,True,0.11701360733261358,0.1421203103081903,-13.529474705386342,False,diagnostic_failure
1161,assignment_isolation,plus_one_randomisation,True,ok,-88.8413537199588,3.5407121854402863,-82.46456576205662,-94.6208059476625,34.48815963257683,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007076265042858149,24,24,24,0,0.0,{},0.7957910310588882,0.7135658914728681,0.0,False,True,True,False,False,False,0.0,-82.46456576205662,-94.6208059476625,-82.46456576205662,95.20833333333333,1.1906430927325473,0.5186429716367219,True,0.4971102927923796,False,0.00520833333333337,False,False,0.6649582864873748,0.00520833333333337,True,True,-1.4709999699739194,0.14695277608786622,-14.203781649278408,False,diagnostic_failure
1162,assignment_isolation,plus_one_randomisation,True,ok,-84.51086940831362,2.364236603916331,-80.21059261637538,-88.1750198424323,33.70001110479692,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007074525625200664,24,24,24,0,0.0,{},0.785949764521193,0.6947251773049644,0.0,False,True,True,False,False,False,0.0,-80.21059261637538,-88.17501984243229,-80.21059261637538,94.41666666666667,1.158301727998403,0.5377220458904072,True,0.5228121181788821,False,0.015972222222222165,False,False,0.6563825597891033,0.015972222222222165,True,True,-0.3523296755178577,0.15829726370951555,-12.889428437409816,False,diagnostic_failure
1163,assignment_isolation,plus_one_randomisation,True,ok,-81.32114943561031,3.469982415361868,-73.95524339663982,-86.70398955092259,33.014007277420575,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007112573188518573,24,24,24,0,0.0,{},0.8120110544217687,0.6946220930232558,0.0,False,True,True,False,False,False,0.0,-73.95524339663982,-86.70398955092259,-73.95524339663982,95.70833333333333,1.1486028038110014,0.5036950799057209,True,0.48353882204105403,False,0.03888888888888886,False,False,0.644592826310421,0.03888888888888886,True,True,-0.08505073335650554,0.07346335150230011,-12.724035566817458,False,diagnostic_failure
1164,assignment_isolation,plus_one_randomisation,True,ok,-80.34758264997394,2.80493886135047,-75.69343778997005,-85.21314985824485,33.37090022468814,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007026381222522328,24,24,24,0,0.0,{},0.7803402341999104,0.7037254901960782,0.0,False,True,True,False,False,False,0.0,-75.69343778997005,-85.21314985824485,-75.69343778997005,94.75,1.1411933841934603,0.507799287118617,True,0.5229816587142416,False,0.023958333333333304,False,False,0.6423729341139621,0.023958333333333304,True,True,1.2628303817072009,0.13929659673045766,-11.741464398081316,False,diagnostic_failure
