replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
879,assignment_isolation,plus_one_randomisation,True,ok,-89.94740064700557,3.432382937239454,-84.81170992977162,-97.16018165658926,34.21783747908188,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0071036100269289545,24,24,24,0,0.0,{},0.805701754385965,0.7164814814814814,0.0,False,True,True,False,False,False,0.0,-84.81170992977162,-97.16018165658926,-84.81170992977162,95.79166666666667,1.1895029952207987,0.005716740976085226,False,0.528261135660642,False,0.023958333333333304,False,False,0.669957928714351,0.023958333333333304,True,True,-0.3638277436357322,0.08386473210263909,-13.486952019878633,False,supported
880,assignment_isolation,plus_one_randomisation,True,ok,-90.29682196978251,3.819826663343502,-84.32041948798877,-98.26495465840878,34.55855721767818,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007074835975324431,24,24,24,0,0.0,{},0.7890988927071401,0.6848039215686272,0.0,False,True,True,False,False,False,0.0,-84.32041948798877,-98.26495465840878,-84.32041948798877,95.29166666666667,1.1933544149490987,0.01628423732114007,False,0.4983272677266278,False,0.02013888888888893,False,False,0.6701977881926929,0.02013888888888893,True,True,-1.1933346048919744,0.15233256328781872,-13.277921724146317,False,supported
881,assignment_isolation,plus_one_randomisation,True,ok,-99.35591254407514,3.937829651970764,-92.78041306968318,-106.32302083853426,34.466784013861925,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00703888703370097,24,24,24,0,0.0,{},0.7891955553038028,0.7102807971014493,0.0,False,True,True,False,False,False,0.0,-92.78041306968318,-106.32302083853426,-92.78041306968318,96.70833333333333,1.1929073423717342,0.0034625312913375023,False,0.4899290513629119,False,0.021180555555555536,False,False,0.7037604587833071,0.021180555555555536,True,True,1.7999259043397065,0.12854269060155618,-15.655595464866588,False,supported
882,assignment_isolation,plus_one_randomisation,True,ok,-89.76507616486396,3.0873957916482833,-84.90178717180466,-95.43113375841067,33.728823655372324,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007074364803771589,24,24,24,0,0.0,{},0.8085573476702508,0.6787306201550387,0.0,False,True,True,False,False,False,0.0,-84.90178717180466,-95.43113375841067,-84.90178717180466,95.95833333333333,1.1686918045122503,0.003699615513710561,False,0.5087022157171518,False,0.03194444444444444,False,False,0.6757202831279243,0.03194444444444444,True,True,-1.7140715031481641,0.1370036186986163,-14.164293913405162,False,supported
883,assignment_isolation,plus_one_randomisation,True,ok,-84.76539580614448,4.334091608764021,-77.3731076205742,-91.5084531801728,33.53815084124456,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00703451480909148,24,24,24,0,0.0,{},0.7798942652329749,0.7075925925925927,0.0,False,True,True,False,False,False,0.0,-77.3731076205742,-91.5084531801728,-77.3731076205742,96.04166666666667,1.1560406627002686,0.04031540055774079,False,0.5196789447820389,False,0.01736111111111116,False,False,0.6582960492053133,0.01736111111111116,True,True,0.20922147426633111,0.18531079899329717,-13.269659612606395,False,supported
884,assignment_isolation,plus_one_randomisation,True,ok,-92.3233445574067,3.3868962847359434,-86.5406932624966,-98.31434309109494,34.61949937279927,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007119585276972665,24,24,24,0,0.0,{},0.8142032090053765,0.6279265873015872,0.0,False,True,True,False,False,False,0.0,-86.54069326249662,-98.31434309109494,-86.54069326249662,95.25,1.2027572297316997,0.012517846732651827,False,0.512693656541492,False,0.026388888888888795,False,False,0.6754897535780615,0.026388888888888795,True,True,0.40884674510484853,0.1005494335722028,-12.951583219163851,False,supported
885,assignment_isolation,plus_one_randomisation,True,ok,-97.34196005491634,3.4551438256254805,-91.75869103547296,-103.58001658885983,35.15768436737383,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00708320221574479,24,24,24,0,0.0,{},0.8081151270604396,0.7186141304347826,0.0,False,True,True,False,False,False,0.0,-91.75869103547296,-103.58001658885983,-91.75869103547296,96.83333333333333,1.225271547515017,0.011076943044452645,False,0.5046775754078772,False,0.010763888888888906,False,False,0.6877955663672328,0.010763888888888906,True,True,-1.4336236428740425,0.13103964006047616,-13.692223546830107,False,supported
886,assignment_isolation,plus_one_randomisation,True,ok,-89.14361890079113,3.5029272802806983,-82.62029529102088,-94.94524207847644,34.20346423652986,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007036152576652808,24,24,24,0,0.0,{},0.8098852040816327,0.6987455197132615,0.0,False,True,True,False,False,False,0.0,-82.62029529102088,-94.94524207847644,-82.62029529102088,96.58333333333333,1.1825688708476534,0.006289372917535078,False,0.5078576452183283,False,0.025000000000000022,False,False,0.6687907920080949,0.025000000000000022,True,True,0.7436402135267761,0.12223600142661199,-14.69728055823046,False,supported
887,assignment_isolation,plus_one_randomisation,True,ok,-90.05938776556668,4.521438313463466,-79.8258923692375,-97.20673770237714,34.95458454110976,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007050411323352515,24,24,24,0,0.0,{},0.7821262871168582,0.6825581395348835,0.0,False,True,True,False,False,False,0.0,-79.8258923692375,-97.20673770237714,-79.8258923692375,94.83333333333333,1.1999664716658434,0.00031454678821884205,False,0.5385065864573177,False,0.015277777777777835,False,False,0.6671490313690716,0.015277777777777835,True,True,1.1091057688075694,0.1750119213502034,-12.299262578201539,False,supported
888,assignment_isolation,plus_one_randomisation,True,ok,-86.9896049659423,3.8266136525629966,-80.69213038215464,-93.26360588816311,33.311605522571405,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00706291285358462,24,24,24,0,0.0,{},0.8100472813238773,0.7088315217391302,0.0,False,True,True,False,False,False,0.0,-80.69213038215464,-93.26360588816311,-80.69213038215464,96.5,1.1556147425338574,0.0006444081484223711,False,0.5344091734843811,False,0.026388888888888906,False,False,0.6682660697835339,0.026388888888888906,True,True,0.7152323762566384,0.08897222392717129,-13.19622239710075,False,supported
