replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-37.69796148714684,3.0251136266646133,-32.08758273984757,-42.88489788041291,30.02437654739277,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00705967466464125,24,24,24,0,0.0,{},0.7857737531565655,0.7,0.0,False,True,True,False,False,False,0.0,-32.08758273984757,-42.884897880412915,-32.08758273984757,94.75,1.0316165466485587,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.3658195302693916,0.020486111111111094,True,True,-0.1762722819362249,0.12228766060439557,-5.9681991823445975,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-33.766606043782765,3.0010404782507734,-28.7226469033795,-38.57620336276368,29.77550064371449,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.00704588071414166,24,24,24,0,0.0,{},0.7799183455433456,0.7185648148148148,0.0,False,True,False,False,False,False,0.0,-28.7226469033795,-38.57620336276368,-28.7226469033795,96.125,1.0284484773292042,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.32680598901864305,0.02013888888888893,True,False,0.467281112606947,0.14963547704525376,-3.996673935206077,False,inconclusive
2,assignment_isolation,plus_one_randomisation,True,ok,-39.501824058761486,3.412335187937878,-32.754789623450385,-44.949338500432994,30.135449993511067,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007112499018839258,24,24,24,0,0.0,{},0.8124116206501562,0.7471326164874553,0.0,False,True,True,False,False,False,0.0,-32.754789623450385,-44.949338500432994,-32.754789623450385,96.16666666666667,1.0509503184256228,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.37658682493245266,0.027083333333333348,True,True,1.1760703447403633,0.2045458533752615,-4.380407707701695,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-40.629051844102854,4.638516089940859,-33.29801453421914,-48.671663467006596,30.54975122760496,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007079276189831112,24,24,24,0,0.0,{},0.7904769174401562,0.7204212454212454,0.0,False,True,True,False,False,False,0.0,-33.29801453421914,-48.671663467006596,-33.29801453421914,95.0,1.0539702228185883,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.38641205934171663,0.015625,True,True,0.8526009831100426,0.1964768814560027,-6.053918276947166,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-45.254783418638816,3.251035340605845,-39.524373712468034,-50.22636434361468,30.61505876892264,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007040187178690097,24,24,24,0,0.0,{},0.8069727891156463,0.6702651515151515,0.0,False,True,True,False,False,False,0.0,-39.524373712468034,-50.22636434361468,-39.524373712468034,97.04166666666667,1.0616183854034151,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.4269930037681464,0.035069444444444486,True,True,2.4482470320393577,0.21132805687955195,-6.28119534658707,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-43.72176917905671,4.244161790448901,-35.96279991750698,-50.555968429701,30.26365434803221,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007061474418885188,24,24,24,0,0.0,{},0.8000973937599944,0.7204343971631205,0.0,False,True,True,False,False,False,0.0,-35.96279991750698,-50.55596842970099,-35.96279991750698,96.29166666666667,1.0485306124571334,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.4179069545693828,0.031597222222222165,True,True,-0.020368430317929856,0.09859316259100497,-8.238469458072903,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-40.40132240045102,2.8830742790300983,-35.3679899330746,-45.66505894056326,30.474306603344758,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007040591583771516,24,24,24,0,0.0,{},0.7789874344742522,0.7000000000000001,0.0,False,True,True,False,False,False,0.0,-35.3679899330746,-45.66505894056326,-35.3679899330746,94.79166666666667,1.0444750467012573,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.38775740222669725,0.02083333333333337,True,True,1.0809938684263747,0.19593722801716065,-6.60037058466171,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-39.76827446825103,4.256862259693422,-32.79175546237675,-47.637669328466664,30.759098755646555,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00709508808810519,24,24,24,0,0.0,{},0.8079931972789116,0.6954071969696969,0.0,False,True,True,False,False,False,0.0,-32.79175546237675,-47.637669328466664,-32.79175546237675,95.58333333333333,1.0668232904541843,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.3734061481853765,0.022222222222222143,True,True,0.6893955251429361,0.11503589384897252,-5.316806137202311,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-45.64893026695413,3.5472672115316044,-40.06330815927349,-51.68348904695829,30.237901849941576,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007029988219846813,24,24,24,0,0.0,{},0.7906086680269186,0.7120833333333334,0.0,False,True,True,False,False,False,0.0,-40.06330815927349,-51.68348904695829,-40.06330815927349,96.875,1.0461214627252624,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.43672690369684625,0.02430555555555558,True,True,-0.21799335603883566,0.1960566344937407,-8.480655214343317,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-36.09920285203989,4.167542150008887,-28.878777273718086,-42.5896811857682,28.729688274402722,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007092062984618236,24,24,24,0,0.0,{},0.8007050794949733,0.7053370786516855,0.0,False,True,True,False,False,False,0.0,-28.878777273718086,-42.5896811857682,-28.878777273718086,95.20833333333333,0.9940563030277785,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.36345955981297684,0.04340277777777779,True,True,-0.5388898011875992,0.21445817563903982,-5.753584674501288,False,supported
10,assignment_isolation,plus_one_randomisation,True,ok,-39.87138554733364,4.0060724762791935,-32.78642280820755,-46.528027834013464,29.76050676932757,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007028850842864179,24,24,24,0,0.0,{},0.789758316864295,0.712037037037037,0.0,False,True,True,False,False,False,0.0,-32.78642280820755,-46.528027834013464,-32.78642280820755,95.66666666666667,1.0229984482248993,0.004067038420177942,False,0.5256764218747405,False,0.027430555555555514,False,False,0.39073858902953246,0.027430555555555514,True,True,-0.9351728081787356,0.2724724140029147,-6.971262547162375,False,supported
11,assignment_isolation,plus_one_randomisation,True,ok,-41.55049141933067,4.4356371389881435,-34.33120117831401,-48.58699949567589,29.383581956839112,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007064505186034927,24,24,24,0,0.0,{},0.8046697845804989,0.7248148148148147,0.0,False,True,True,False,False,False,0.0,-34.33120117831401,-48.58699949567589,-34.33120117831401,96.75,1.020897113980964,0.023154672686828946,False,0.49358453111597705,False,0.018055555555555602,False,False,0.4080434598783663,0.018055555555555602,True,True,0.0656394163313962,0.1534373260995925,-6.692330079088819,False,supported
