replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
10,assignment_isolation,plus_one_randomisation,True,ok,-4.4236413224073905,2.6282288527510835,0.0014524877104662437,-9.072154377245155,29.04722523317266,0.06,0.941,0.06,0.941,,,,,False,False,False,False,False,0.007071067811865475,0.00708051367179334,24,24,24,0,0.0,{},0.7916237113402063,0.6720037453183518,0.0,False,True,False,False,True,False,0.0,0.0014524877104662437,-9.072154377245155,0.0014524877104662437,94.95833333333333,1.002088236634761,0.011768500344591464,False,0.5055477751749363,False,0.025694444444444464,False,False,0.0313851322639021,0.025694444444444464,False,False,-2.7038787763408334,0.3668535773056292,-1.0061206157132843,True,selection_limited
11,assignment_isolation,plus_one_randomisation,True,ok,4.532868881961476,3.1228649336408356,10.081685470261732,-0.8278006555719655,28.628826863884314,0.937,0.064,0.937,0.064,,,,,False,False,False,False,False,0.007071067811865475,0.007058189381627857,24,24,24,0,0.0,{},0.7956051262567221,0.6954301075268818,0.0,False,True,False,False,True,False,0.0,10.081685470261732,-0.8278006555719655,10.081685470261732,96.79166666666667,0.9939987710081699,0.011484195815977321,False,0.510251892056418,False,0.014583333333333393,False,False,0.03260200062143799,0.014583333333333393,False,False,0.48519321209500005,0.24041756762698244,0.28943081812913685,False,forward_only_adequate
12,assignment_isolation,plus_one_randomisation,True,ok,-2.2361806021274764,3.587088695032265,4.5417187402082035,-7.965776256115507,28.72374082938504,0.224,0.777,0.224,0.777,,,,,False,False,False,False,False,0.007071067811865475,0.007084746328543862,24,24,24,0,0.0,{},0.7937914377289377,0.7120786516853934,0.0,False,True,False,False,True,False,0.0,4.5417187402082035,-7.965776256115507,4.5417187402082035,94.33333333333333,0.988252448544239,0.04260851222672441,False,0.49457400944988494,False,0.023958333333333304,False,False,0.014464466914368847,0.023958333333333304,False,False,-1.552957745401372,0.18996582575028156,-2.1569696681807966,False,forward_only_adequate
13,assignment_isolation,plus_one_randomisation,True,ok,-1.0823148653041574,3.068550207717469,4.813805041527664,-5.9579723567526335,28.341473203803236,0.335,0.666,0.335,0.666,,,,,False,False,False,False,False,0.007071067811865475,0.007118893904301115,24,24,24,0,0.0,{},0.8312289562289562,0.7204212454212455,0.0,False,True,False,False,True,False,0.0,4.813805041527664,-5.9579723567526335,4.813805041527664,98.0,0.9986607563261951,0.018248249603406035,False,0.5339611983027719,False,0.02881944444444451,False,False,0.006262760007069268,0.02881944444444451,False,False,-0.43704091112556176,0.15246663378356165,-1.4255453416471582,False,forward_only_adequate
14,assignment_isolation,plus_one_randomisation,True,ok,3.4476466395743084,3.051489509354149,9.507913793496764,-1.5303856978943018,27.617216412388355,0.885,0.116,0.885,0.116,,,,,False,False,False,False,False,0.007071067811865475,0.007064432717614853,24,24,24,0,0.0,{},0.8072580340621578,0.7317375886524823,0.0,False,True,False,False,True,False,0.0,9.507913793496764,-1.530385697894302,9.507913793496764,96.83333333333333,0.9599301704741975,0.016304175174991907,False,0.5020854645248944,False,0.018750000000000044,False,False,0.024671690736589726,0.018750000000000044,False,False,0.6018773403060634,0.1229424292225813,0.13631600868224136,False,forward_only_adequate
15,assignment_isolation,plus_one_randomisation,True,ok,-3.272812243005836,3.4762005020881563,2.7648757848985364,-10.331097859744663,29.010697777630988,0.15,0.851,0.15,0.851,,,,,False,False,False,False,False,0.007071067811865475,0.007091874071864512,24,24,24,0,0.0,{},0.7964750788022066,0.7287254901960784,0.0,False,True,False,False,True,False,0.0,2.764875784898537,-10.331097859744663,2.764875784898537,95.25,1.0039721983491945,0.024067558249807566,False,0.5233129335531072,False,0.012499999999999956,False,False,0.02204492992196441,0.012499999999999956,False,False,1.88010767688849,0.14046219518167727,-0.6717985854247603,False,forward_only_adequate
16,assignment_isolation,plus_one_randomisation,True,ok,4.346046969866694,2.586680070442124,8.481586664908079,-1.6055378046851105,28.44084480370907,0.924,0.077,0.924,0.077,,,,,False,False,False,False,False,0.007071067811865475,0.007061722291065416,24,24,24,0,0.0,{},0.8220267811425644,0.7522108843537417,0.0,False,True,False,False,True,False,0.0,8.481586664908079,-1.6055378046851105,8.481586664908079,98.79166666666667,0.9981212170385823,0.026303577590918125,False,0.5162358374973652,False,0.014236111111111116,False,False,0.030885072606551225,0.014236111111111116,False,False,-0.7296355601513991,0.11389610013338304,-1.040887416676466,False,forward_only_adequate
17,assignment_isolation,plus_one_randomisation,True,ok,3.454909120639755,2.504839385496312,8.179289778050283,-0.3030947956344425,28.09446024768844,0.891,0.11,0.891,0.11,,,,,False,False,False,False,False,0.007071067811865475,0.0070599947748024435,24,24,24,0,0.0,{},0.8029104568205587,0.7120738636363635,0.0,False,True,False,False,True,False,0.0,8.179289778050283,-0.3030947956344425,8.179289778050283,96.70833333333333,0.975274852712172,0.016857747688908034,False,0.5076909318919847,False,0.020486111111111094,False,False,0.02428013560492195,0.020486111111111094,False,False,1.8398563314233976,0.21727617945015099,1.5472340992081843,False,forward_only_adequate
18,assignment_isolation,plus_one_randomisation,True,ok,2.5860714239909073,3.0306749015041015,7.546909750979539,-2.9825213521954796,29.253462824078056,0.809,0.192,0.809,0.192,,,,,False,False,False,False,False,0.007071067811865475,0.007070622144123155,24,24,24,0,0.0,{},0.7982383794537891,0.6791182170542636,0.0,False,True,False,False,True,False,0.0,7.54690975097954,-2.9825213521954796,7.54690975097954,95.08333333333333,1.0084563729237508,0.021651835984842736,False,0.5320584372598938,False,0.014930555555555558,False,False,0.016703730698417997,0.014930555555555558,False,False,-0.3077381156413788,0.09792911388187488,0.15661288529439465,False,forward_only_adequate
19,assignment_isolation,plus_one_randomisation,True,ok,-0.26000086938836814,2.0274494837969614,3.311523289001497,-3.651845289537312,28.037255636553194,0.478,0.523,0.478,0.523,,,,,False,False,False,False,False,0.007071067811865475,0.007061925164939353,24,24,24,0,0.0,{},0.8140407986111111,0.6946759259259261,0.0,False,True,False,False,True,False,0.0,3.311523289001497,-3.6518452895373117,3.311523289001497,97.79166666666667,0.9789928968532701,0.016209982326056145,False,0.5286014597628617,False,0.011458333333333237,False,False,0.0013146249978171376,0.011458333333333237,False,False,0.16482607164524854,0.13562399102900902,-0.24991152147995302,False,forward_only_adequate
20,assignment_isolation,plus_one_randomisation,True,ok,-4.181770829060276,2.9004347018034466,-0.11900563420572663,-9.571498970878284,29.737514601542852,0.089,0.912,0.089,0.912,,,,,False,False,False,False,False,0.007071067811865475,0.007108107881533244,24,24,24,0,0.0,{},0.79997290989414,0.695392156862745,0.0,False,True,False,False,True,False,0.0,-0.11900563420572663,-9.571498970878284,-0.11900563420572663,93.95833333333333,1.0244631359331735,0.03228066594890034,False,0.5152392949208155,False,0.03819444444444453,False,False,0.02864006843179592,0.03819444444444453,False,False,-0.007619185080154212,0.14180024218460352,-1.2323840813627742,False,forward_only_adequate
21,assignment_isolation,plus_one_randomisation,True,ok,-2.7550831040152417,2.6733677776642457,2.62081508439973,-6.830848330271093,28.49283893803576,0.175,0.826,0.175,0.826,,,,,False,False,False,False,False,0.007071067811865475,0.0070425370927559156,24,24,24,0,0.0,{},0.7987838541666668,0.7204212454212454,0.0,False,True,False,False,True,False,0.0,2.62081508439973,-6.830848330271093,2.62081508439973,96.91666666666667,0.9877205848730926,0.020867452622874018,False,0.5281222133026631,False,0.028125000000000067,False,False,0.018405253689772926,0.028125000000000067,False,False,-0.8999888683965224,0.2998767727397107,-1.1593140050219939,False,forward_only_adequate
