collider_gamma,median_beta_hat,retention_imbalance_med,retention_fire_rate,materiality_pass_rate,interaction_fire_rate,gate_pass_rate,support_rate,selection_limited_rate
-0.5,-16.42943996052334,0.025173611111111133,0.0,0.06,1.0,0.75,0.0,1.0
-0.9,-24.62841435034391,0.025347222222222188,0.0,0.225,1.0,0.9777777777777777,0.0,1.0
-1.4,-31.01991042594984,0.02812500000000001,0.005,0.54,1.0,1.0,0.0,1.0
-2.0,-34.26134912573285,0.03159722222222222,0.0,0.735,1.0,0.9931972789115646,0.0,1.0
-2.6,-36.49014123580808,0.03437499999999999,0.005,0.855,1.0,1.0,0.0,1.0
-3.2,-37.61423275076304,0.03628472222222226,0.005,0.865,1.0,1.0,0.0,1.0
