scenario,generator,M,P,trials_per_bin,delay_support_ms,n_bins,sigma_resid,inference_route,calibration,route_invalid_rate,beta_min_med,beta_inj,mean_beta_hat,sd_beta_hat,median_ucb,median_lcb,calib_pass_rate,rand_pass_rate,positive_diagnostic_pass_rate,materiality_pass_rate,component_disagreement_rate,leak_fire_rate,delivery_fire_rate,retention_imbalance_med,retention_fire_rate,gate_applicable_rate,gate_pass_rate,gate_pass_given_applicable_rate,collider_inter_fire_rate,collider_fire_rate,N_estimable_med,nonestimable_fraction_med,leverage_failure_rate,estimability_summary_fire_rate,estimability_conclusion_change_rate,support_n,support_rate,null_n,null_rate,selection_limited_n,selection_limited_rate,diagnostic_failure_n,diagnostic_failure_rate,opposite_direction_n,opposite_direction_rate,inconclusive_n,inconclusive_rate,base_seed,run_hash
clean_null,forward_only,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,28.79580666147671,0.0,0.16478370698899378,2.9666639235097882,5.10359608076767,-4.963974041540464,0.035833333333333335,0.035833333333333335,0.060833333333333336,0.0,0.09666666666666666,0.0025,0.0,0.0215277777777777,0.0008333333333333334,0.0,0.0008333333333333334,,0.0016666666666666668,0.0033333333333333335,24.0,0.0,0.0,0.0,0.0,0,0.0,1076,0.8966666666666666,5,0.004166666666666667,3,0.0025,0,0.0,116,0.09666666666666666,101,bae2c9a793d169a1
injected_residual,endpoint_injected,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.37972228034595,-60.0,-59.94601686576406,3.811007834735634,-53.483035571664246,-66.51744386468255,1.0,1.0,0.0,1.0,0.0,0.0016666666666666668,0.0,0.021527777777777812,0.0025,1.0,1.0,1.0,0.0025,0.0033333333333333335,24.0,0.0,0.0,0.0,0.0,1191,0.9925,0,0.0,7,0.005833333333333334,2,0.0016666666666666668,0,0.0,0,0.0,102,bae2c9a793d169a1
leakage,forward_only_with_leak,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,33.61814517214758,0.0,-84.79574934729767,2.888512229691735,-79.56253689129436,-89.79039305231575,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.02118055555555559,0.0008333333333333334,1.0,1.0,1.0,0.0025,0.004166666666666667,24.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1200,1.0,0,0.0,0,0.0,103,bae2c9a793d169a1
selection_standard,forward_only_monotone_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,33.44602754827761,0.0,-37.79736629039652,3.1152948433943437,-31.899157328165153,-43.84980267824601,1.0,1.0,0.0,0.31166666666666665,0.6883333333333334,0.0,0.0,0.16666666666666663,1.0,0.31166666666666665,1.0,1.0,1.0,1.0,21.0,0.125,0.965,0.965,0.965,0,0.0,0,0.0,1200,1.0,0,0.0,0,0.0,0,0.0,104,bae2c9a793d169a1
collider_selection,forward_only_collider_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,17.53564327995681,0.0,-34.942906935114195,6.17856586972189,-22.89816112017049,-46.74903215875274,0.9983333333333333,0.9983333333333333,0.0,0.7341666666666666,0.26416666666666666,0.0008333333333333334,0.0,0.03229166666666666,0.009166666666666667,0.7341666666666666,0.9533333333333334,0.9920544835414302,1.0,1.0,8.0,0.6666666666666666,1.0,0.9966666666666667,0.9975,0,0.0,0,0.0,1199,0.9991666666666666,1,0.0008333333333333334,0,0.0,0,0.0,105,bae2c9a793d169a1
adversarial_null,adversarial_forward_only,1200,24,24,0-20,5,1.0,sequential_evalue,martingale_evalue,0.0,33.81187902150041,0.0,-0.14893015252652006,3.6731050703553008,5.972933456622135,-6.273717778163103,0.0016666666666666668,0.0016666666666666668,0.0008333333333333334,0.0,0.0025,0.0008333333333333334,0.0,0.022222222222222143,0.0008333333333333334,0.0,0.0016666666666666668,,0.004166666666666667,0.004166666666666667,24.0,0.0,0.0,0.0,0.0,0,0.0,1190,0.9916666666666667,6,0.005,1,0.0008333333333333334,0,0.0,3,0.0025,106,bae2c9a793d169a1
opposite_direction,endpoint_injected_positive,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.422285717873496,60.0,59.944751946548855,3.759698961013712,66.44099726301607,53.29228186637035,0.0,0.0,1.0,0.0,0.0,0.0025,0.0,0.021874999999999978,0.0025,1.0,1.0,1.0,0.005,0.005833333333333334,24.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,10,0.008333333333333333,3,0.0025,1187,0.9891666666666666,0,0.0,107,bae2c9a793d169a1
