collider_gamma,median_beta_hat,retention_imbalance_med,retention_fire_rate,materiality_pass_rate,interaction_fire_rate,gate_pass_rate,support_rate,selection_limited_rate
-0.5,-16.85042807245986,0.025173611111111133,0.0,0.015,1.0,0.06,0.0,1.0
-0.9,-25.43237466966851,0.025347222222222188,0.0,0.485,1.0,0.63,0.0,1.0
-1.4,-31.014182481178587,0.02812500000000001,0.005,0.97,1.0,0.99,0.0,1.0
-2.0,-34.92062363517673,0.03159722222222222,0.0,0.995,1.0,1.0,0.0,1.0
-2.6,-36.4858664887214,0.03437499999999999,0.005,1.0,1.0,1.0,0.0,1.0
-3.2,-37.43242821408188,0.03628472222222226,0.005,1.0,1.0,1.0,0.0,1.0
