replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
565,assignment_isolation,plus_one_randomisation,True,ok,19.491419416130423,4.536771781994347,27.37561826775309,11.610646233978994,29.160343048171423,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.08333333333333,1.0053096109065895,0.01232636225496857,False,0.5340873564418572,False,0.009722222222222299,False,False,0.18042639354633946,0.009722222222222299,True,-0.2137947954002748,0.1956173374707888,3.7342733317484362,False,forward_only_adequate
566,assignment_isolation,plus_one_randomisation,True,ok,18.510227163831146,2.97405395042871,23.58594407929607,13.004041889586933,30.100034126256816,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.54166666666667,1.040203716211643,0.004142847956158106,False,0.5128700195065778,False,0.01666666666666672,False,False,0.16319555610281597,0.01666666666666672,True,-1.395786320655311,0.25259000433154327,1.8310715756417213,False,forward_only_adequate
567,assignment_isolation,plus_one_randomisation,True,ok,21.219074439343483,3.7335019701741765,27.655415054424715,14.833579650591798,29.50696559201187,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.70833333333333,1.0205973433116091,0.05001245832010872,False,0.4996464064150266,False,0.023611111111111138,False,False,0.19569424439835964,0.023611111111111138,True,-1.7544099436707432,0.15521979821140103,3.0624805708092975,False,forward_only_adequate
568,assignment_isolation,plus_one_randomisation,True,ok,23.31674484875025,3.515703425220783,29.18405655468825,17.17186835354747,29.115035955094992,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.79166666666667,1.012724510927037,0.011325273204187648,False,0.5349005978704198,False,0.021527777777777812,False,False,0.22013073311778097,0.021527777777777812,True,-0.6172077211887842,0.2007229935802862,2.105167898057575,False,forward_only_adequate
569,assignment_isolation,plus_one_randomisation,True,ok,32.297772578698066,4.2603807058341445,40.62097450534517,25.551656312433195,29.856432739054195,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.16666666666667,1.035154572088212,0.026752623702124688,False,0.5241195544732751,False,0.01666666666666672,False,False,0.3093311046375806,0.01666666666666672,True,1.031241370015385,0.2403051560480547,4.153661093033126,False,forward_only_adequate
570,assignment_isolation,plus_one_randomisation,True,ok,11.898137958092898,3.3092359400671802,17.83914381325321,6.304676948425171,28.729944436081965,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.75,0.9939377462523067,0.01056490604510476,False,0.48634644205664435,False,0.009374999999999911,False,False,0.10210138039892894,0.009374999999999911,True,-0.5260024053611883,0.14999864156734824,0.9235708596011545,False,forward_only_adequate
571,assignment_isolation,plus_one_randomisation,True,ok,25.51831765898788,3.4738527060046644,31.415440036975323,19.62195738769552,29.028378658387602,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.25,1.006881021864165,0.011645061936311134,False,0.5000810752983751,False,0.04166666666666663,False,False,0.24557912410698357,0.04166666666666663,True,-1.3666228785436185,0.12927702449162284,3.1685956668728976,False,forward_only_adequate
572,assignment_isolation,plus_one_randomisation,True,ok,19.32353460432992,2.6550684251827206,23.618224868558123,14.573980124434119,28.812508874186896,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.58333333333333,1.0011223981203388,0.05429604325023432,False,0.5213256828800746,False,0.018402777777777768,False,False,0.1794863815441354,0.018402777777777768,True,0.2575811326517627,0.07615183059260348,2.2972459531754654,False,forward_only_adequate
573,assignment_isolation,plus_one_randomisation,True,ok,14.434946691752259,4.213846677317062,22.088122865427373,7.394214390601665,28.27271927957473,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.95833333333333,0.9791831596646825,0.004903909806791571,False,0.5472994237536519,False,0.018055555555555602,False,False,0.13071433188380085,0.018055555555555602,True,-1.016122495621544,0.1484361929255631,2.701196258784224,False,forward_only_adequate
574,assignment_isolation,plus_one_randomisation,True,ok,12.27168515798189,3.6287325770433374,19.325665954883565,6.538746437115823,28.527096643141263,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,94.875,0.9824002727307468,0.005951148023524804,False,0.5101273428826091,False,0.016666666666666607,False,False,0.1074005853774791,0.016666666666666607,True,-0.6885542953082783,0.11351498793214698,1.9900649564651656,False,forward_only_adequate
575,assignment_isolation,plus_one_randomisation,True,ok,25.107692049587516,3.100799668449969,31.79959836186461,20.767655016170867,29.257203006234995,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.54166666666667,1.016354484325449,0.02681359174370512,False,0.5210924377270781,False,0.013194444444444509,False,False,0.23855747486710072,0.013194444444444509,True,0.12698584489367554,0.15766310283022458,2.992952067679676,False,forward_only_adequate
576,assignment_isolation,plus_one_randomisation,True,ok,20.241237348722077,3.637943043224453,25.85031079053838,13.385487078612606,28.97752132417394,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,97.41666666666667,1.0111902493198015,0.02218363610659527,False,0.4963140371585287,False,0.004513888888888928,False,False,0.1872617420497239,0.004513888888888928,True,0.14581975967166627,0.10414328838616209,3.675086066388351,False,forward_only_adequate
577,assignment_isolation,plus_one_randomisation,True,ok,14.282908843312532,4.527038876886564,22.511154099080613,7.099988646599495,28.795725540424698,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.04166666666667,0.9977296442699743,0.012116669592524916,False,0.5142759887300927,False,0.02604166666666663,False,False,0.12624918405963312,0.02604166666666663,True,-1.4647992974441517,0.21733351554120728,0.6954631212045045,False,forward_only_adequate
578,assignment_isolation,plus_one_randomisation,True,ok,23.625112604206407,4.395203270963626,30.827485704202893,15.645080489632136,28.306084064833662,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.33333333333333,0.9771408909722985,0.004904871525901774,False,0.5076064426416595,False,0.03749999999999998,False,False,0.23278851081317492,0.03749999999999998,True,-0.6779501297727569,0.24276427307004855,3.6084149584508403,False,forward_only_adequate
579,assignment_isolation,plus_one_randomisation,True,ok,15.794547708695154,3.7507985105675914,21.91873212936987,8.91892796837243,28.35852162653801,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.54166666666667,0.9851355448376189,0.0212037416646343,False,0.49802536350532634,False,0.025000000000000022,False,False,0.14434910238934737,0.025000000000000022,True,0.7733784173243816,0.1525359198815524,3.366738479846125,False,forward_only_adequate
580,assignment_isolation,plus_one_randomisation,True,ok,19.312301997200564,3.074252392535365,24.374067481614208,14.511896469941242,29.61551882366978,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.75,1.0245749726101951,0.0041965139954528545,False,0.51791776775813,False,0.011111111111111072,False,False,0.1745781130899987,0.011111111111111072,True,0.5239944167239043,0.14638889621834564,2.9528555835682417,False,forward_only_adequate
