replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-47.471414126071146,3.150336529432715,-41.86445240774292,-52.72106098648722,30.571139787967198,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.75,1.0520981252174277,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.4508279317559854,0.020486111111111094,True,-0.17528009012198292,0.12228766060439557,-7.396019817344806,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-44.034201492305364,3.167489196950928,-38.29411355950453,-49.31253153462205,30.20534399940862,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.125,1.0470248011540602,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.42142034085313135,0.02013888888888893,True,0.481857653547222,0.1496354770452537,-5.505573050712385,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-49.64097402753382,3.475624910272728,-43.659845257944056,-55.36461050207505,30.92729078976666,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.16666666666667,1.0722823702059852,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.4617803947270874,0.027083333333333348,True,1.1209729049363584,0.2045458533752615,-5.970024324558671,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-50.31943725638779,4.716092894431637,-42.845530027630815,-58.005422217681215,31.21241784084207,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.0,1.0755837229719443,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.46628612106882505,0.015625,True,0.8340081392113835,0.1964768814560027,-7.5347028316000255,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-55.35675363191319,3.2976435039767447,-49.215242243837004,-60.59080213073173,31.149146908826612,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.04166666666667,1.084876462696547,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.5040259345775772,0.035069444444444486,True,2.461730961034986,0.21132805687955186,-7.840118303539447,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-53.26991383051105,4.335525544638939,-45.27940411337766,-60.33720231456186,30.88050912148783,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.29166666666667,1.0713560100611832,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.4926949702503362,0.031597222222222165,True,-0.019944460880624074,0.09859316259100494,-9.750436846331912,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-50.69757121315664,2.8775725134574954,-46.322913893206184,-55.85320576116363,30.968419533088376,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.79166666666667,1.0660047207277323,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.47336699155811196,0.02083333333333337,True,1.099328315137068,0.1959372280171606,-7.906244481307023,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-49.51160971730773,4.2409703031777495,-41.82928005677349,-56.319951556510205,31.466748676142064,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.58333333333333,1.087672038244539,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.45457990893983474,0.022222222222222143,True,0.6563735516845465,0.11503589384897252,-6.822435901024848,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-55.370954998714296,3.562289823904786,-48.6678839593492,-61.708090815849246,30.741580787736908,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.0697617372938852,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.5102988525115286,0.02430555555555558,True,-0.18475163219282448,0.19605663449374064,-9.974339985202407,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-46.409420228168244,4.123043685621866,-38.613900078162445,-52.88257230117261,29.41847725156059,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,1.0148752865408779,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.45652708853936885,0.04340277777777779,True,-0.5677747057990795,0.21445817563903982,-7.167022999800017,False,supported
