replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-72.46291903795752,3.148438814682736,-66.85543730686283,-77.69892963214397,32.58204476895332,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.75,1.1213029168987183,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.6070766702999114,0.020486111111111094,True,-0.1722969072801635,0.12228766060439557,-11.06786415355724,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-68.9671896924864,3.159907581635618,-63.28114106261172,-74.23700240828781,32.07370378131999,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.125,1.1117888054699288,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.5896135285883498,0.02013888888888893,True,0.5162591264890941,0.14963547704525373,-9.331210312143421,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-74.64233548202117,3.4802437323282986,-68.63997542014748,-80.37508859349828,32.979721387235564,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.16666666666667,1.1434423421769362,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.6113268139963087,0.027083333333333348,True,0.9812390810059324,0.20454585337526152,-9.767270993583638,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-75.32626631544527,4.720332990003149,-67.85860438130933,-83.0142518842319,33.28925736161325,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.0,1.1471518659833886,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.6137961044523685,0.015625,True,0.7856666688762799,0.1964768814560027,-11.205603111115396,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-80.318314929487,3.298068884918015,-74.16277341445166,-85.56391562760919,33.30112374524319,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.04166666666667,1.1598264773768838,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.6357159848747806,0.035069444444444486,True,2.487351391360503,0.21132805687955192,-11.575901338768391,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-78.24096292261136,4.336780953998551,-70.26518502391974,-85.29821734014877,33.02121067238255,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.29166666666667,1.1456246519179487,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.6300692824440666,0.031597222222222165,True,-0.01884151011245263,0.09859316259100494,-13.449070674352242,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-75.72127027719395,2.888717377244048,-71.34776802751168,-80.93778765731494,33.040537433071094,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.79166666666667,1.1373318177055396,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.6195680827008231,0.02083333333333337,True,1.1409584482838306,0.1959372280171607,-11.637989131888867,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-74.52324933132448,4.241696387552066,-66.85210053977636,-81.34340401733581,33.48273072321682,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.58333333333333,1.1573559869986316,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.6055490552783243,0.022222222222222143,True,0.5728889740420599,0.11503589384897252,-10.384494021143661,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-80.32142481231692,3.5586751873641553,-73.642210127838,-86.68104970556178,32.92466747212645,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.1457299388083406,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.6406556905286616,0.02430555555555558,True,-0.10271866482591793,0.19605663449374064,-13.632066978622692,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-71.41814689676455,4.121128336781282,-63.64239626688446,-77.9033416078209,31.470957695789224,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,1.0856815237619286,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.6145490291438002,0.04340277777777779,True,-0.6370566447535806,0.21445817563903993,-10.829070539616788,False,supported
10,assignment_isolation,plus_one_randomisation,True,ok,-74.44538107861842,3.9771878409749717,-66.51539042758175,-81.3497170557796,32.283040406796175,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.66666666666667,1.116374112732939,0.004067038420177942,False,0.5256764218747405,False,0.027430555555555514,False,False,0.6202352088264257,0.027430555555555514,True,-0.8184079833899457,0.2724724140029147,-12.190282591083452,False,supported
11,assignment_isolation,plus_one_randomisation,True,ok,-76.07568104885122,4.401752826637399,-68.45126549369544,-83.69149553554305,32.13506838396498,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.75,1.1175313669483382,0.023154672686828946,False,0.49358453111597705,False,0.018055555555555602,False,False,0.6287446985362453,0.018055555555555602,True,0.06650053422141564,0.1534373260995925,-11.996764164682695,False,supported
12,assignment_isolation,plus_one_randomisation,True,ok,-70.12947310113009,2.676486031589698,-65.62723517112761,-74.60332288901148,31.954225991753926,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.83333333333333,1.1001801802418498,0.027996865329572334,False,0.5192707499773082,False,0.018750000000000044,False,False,0.6012598093669983,0.018750000000000044,True,0.5961877694495081,0.09987662091697343,-11.372795310921159,False,supported
13,assignment_isolation,plus_one_randomisation,True,ok,-75.08855467916324,3.4503364906396565,-68.85204226362048,-80.31359252688655,33.50020646887901,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.29166666666667,1.15619197762466,0.003538270214754724,False,0.5252648105173731,False,0.025347222222222188,False,False,0.6091675526544269,0.025347222222222188,True,1.2859279103287053,0.21561022014098835,-10.093720917173384,False,supported
14,assignment_isolation,plus_one_randomisation,True,ok,-78.53097625414921,3.0245651358757706,-72.53964831024133,-83.27929820361643,32.742946949066805,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.79166666666667,1.1389161595557236,0.006103585644730588,False,0.5121283718351509,False,0.021874999999999978,False,False,0.6339687989081433,0.021874999999999978,True,0.15440419591861845,0.18157516112320926,-10.737092088036533,False,supported
15,assignment_isolation,plus_one_randomisation,True,ok,-75.62365037662225,3.862224902819783,-68.5134614210452,-81.83246898520906,33.52670580978572,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.125,1.1621550307299542,0.0070468497674444,False,0.500347630712788,False,0.01805555555555549,False,False,0.6099921217870299,0.01805555555555549,True,-0.10771282232636338,0.20013051546655197,-11.00848636192488,False,supported
16,assignment_isolation,plus_one_randomisation,True,ok,-75.4728717204412,5.025911123318376,-66.79070460564364,-83.68546192926738,33.19440768298047,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.41666666666667,1.1523807275355131,0.01658833251830748,False,0.5166780678354317,False,0.024652777777777746,False,False,0.612704207210787,0.024652777777777746,True,-1.0223339644910276,0.16670090091904963,-11.915249954079126,False,supported
17,assignment_isolation,plus_one_randomisation,True,ok,-80.12602767851139,3.5130833518649967,-73.65470788973106,-85.88765313068656,33.65767110911253,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,1.161118514703108,0.0011935186270902788,False,0.5124353903307898,False,0.01909722222222221,False,False,0.6342938017895483,0.01909722222222221,True,1.551888830943586,0.19297984448784455,-11.456025651221834,False,supported
18,assignment_isolation,plus_one_randomisation,True,ok,-77.7048216103493,5.2956329264984525,-70.08346059437783,-88.03354110246671,32.27891062327283,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.91666666666667,1.117688840191952,0.017441540006671138,False,0.5120374965366543,False,0.018055555555555602,False,False,0.637302482854254,0.018055555555555602,True,-0.6979671443513082,0.12869572468186516,-12.322911062083469,False,supported
19,assignment_isolation,plus_one_randomisation,True,ok,-76.29489217195544,3.3780169700111258,-70.4801443349235,-81.97491893125994,32.52936086854485,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.08333333333333,1.1273390934006242,0.02470374012931344,False,0.49077376347039814,False,0.018749999999999933,False,False,0.6263387737106468,0.018749999999999933,True,0.7990152871408398,0.15731623091997324,-11.181379896540603,False,supported
20,assignment_isolation,plus_one_randomisation,True,ok,-72.646250019063,3.1898590325091303,-66.55518803089998,-77.39033685960631,32.32024590663275,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.5,1.1225180149578495,0.023777352383096292,False,0.49920970354294275,False,0.027430555555555514,False,False,0.6076867288064842,0.027430555555555514,True,0.0858150938600892,0.10436340871339779,-9.913399702482607,False,supported
21,assignment_isolation,plus_one_randomisation,True,ok,-74.4670724621173,4.440105410065332,-66.50194228375612,-81.68951578136387,32.741052332776405,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.83333333333333,1.1331983608520417,0.028855785056200334,False,0.5164485169922246,False,0.02951388888888884,False,False,0.6141172142475204,0.02951388888888884,True,-1.103288946649471,0.19359845907717232,-11.528573608792078,False,supported
22,assignment_isolation,plus_one_randomisation,True,ok,-73.33205816222812,3.791135689578404,-67.82300723177217,-80.532660250348,32.04924034073213,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.1152663639056417,0.009913657545199385,False,0.523028939204848,False,0.02951388888888884,False,False,0.6143650077626508,0.02951388888888884,True,0.8001896222222576,0.12771779730140503,-9.702424116623433,False,supported
23,assignment_isolation,plus_one_randomisation,True,ok,-81.83205014656393,4.374260634316948,-74.45962936343852,-89.35689498270236,34.08182211981522,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.625,1.1721434315550479,0.01522846433066886,False,0.5087053071118256,False,0.015972222222222276,False,False,0.6389861050960257,0.015972222222222276,True,-0.31034726513244737,0.13741723459408905,-12.103266108273637,False,supported
24,assignment_isolation,plus_one_randomisation,True,ok,-70.16449717483219,4.714708111854126,-61.68610223070917,-77.904990149188,32.5551830502738,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.66666666666667,1.1198856785703266,0.011882151947109933,False,0.5107573033227674,False,0.02013888888888893,False,False,0.5938899066475575,0.02013888888888893,True,1.626365258837065,0.1903565698978703,-8.577176811821811,False,supported
25,assignment_isolation,plus_one_randomisation,True,ok,-76.43916218682621,3.3475091500162173,-70.69686085132219,-82.28628428778929,33.469259450414576,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,1.154618710703274,0.013312465548735044,False,0.5255106407939685,False,0.01388888888888895,False,False,0.6172156723611211,0.01388888888888895,True,-1.0440488905020686,0.11544109327606554,-12.288647396983798,False,supported
