scenario,generator,M,P,trials_per_bin,delay_support_ms,n_bins,sigma_resid,inference_route,calibration,route_invalid_rate,beta_min_med,beta_inj,mean_beta_hat,sd_beta_hat,median_ucb,median_lcb,calib_pass_rate,rand_pass_rate,materiality_pass_rate,leak_fire_rate,delivery_fire_rate,retention_imbalance_med,retention_fire_rate,gate_pass_rate,collider_inter_fire_rate,collider_fire_rate,support_n,support_rate,null_n,null_rate,selection_limited_n,selection_limited_rate,diagnostic_failure_n,diagnostic_failure_rate,opposite_direction_n,opposite_direction_rate,inconclusive_n,inconclusive_rate,base_seed,run_hash
clean_null,forward_only,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,28.755615130267564,0.0,0.14496080929210003,2.9933648280119876,5.108321558591029,-4.950524942242032,0.03666666666666667,0.03666666666666667,0.0,0.0025,0.0,0.0215277777777777,0.0008333333333333334,0.0016666666666666668,0.0016666666666666668,0.0033333333333333335,0,0.0,1192,0.9933333333333333,5,0.004166666666666667,3,0.0025,0,0.0,0,0.0,101,f930a51c1c594275
injected_residual,endpoint_injected,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.352288927095827,-60.0,-59.94562881701332,3.820269871445429,-53.315924551910385,-66.49977595186603,1.0,1.0,1.0,0.0016666666666666668,0.0,0.021527777777777812,0.0025,1.0,0.0025,0.0033333333333333335,1191,0.9925,0,0.0,7,0.005833333333333334,2,0.0016666666666666668,0,0.0,0,0.0,102,f930a51c1c594275
leakage,forward_only_with_leak,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,33.57228586278988,0.0,-84.7830221196043,2.890588412084191,-79.58128384651573,-89.81820775326932,1.0,1.0,1.0,1.0,0.0,0.02118055555555559,0.0008333333333333334,1.0,0.0025,0.004166666666666667,0,0.0,0,0.0,0,0.0,1200,1.0,0,0.0,0,0.0,103,f930a51c1c594275
selection_standard,forward_only_monotone_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,32.03447312830673,0.0,-37.02548393103874,2.9660573516293818,-31.38756984822686,-42.78280754868578,1.0,1.0,0.4266666666666667,0.0,0.0,0.16666666666666663,1.0,1.0,1.0,1.0,0,0.0,0,0.0,1200,1.0,0,0.0,0,0.0,0,0.0,104,f930a51c1c594275
collider_selection,forward_only_collider_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,18.837404516978733,0.0,-34.98294551456175,3.523561703171244,-28.62660720764614,-41.26422403946934,1.0,1.0,0.9966666666666667,0.0008333333333333334,0.0,0.03229166666666666,0.009166666666666667,0.9958333333333333,1.0,1.0,0,0.0,0,0.0,1199,0.9991666666666666,1,0.0008333333333333334,0,0.0,0,0.0,105,f930a51c1c594275
adversarial_null,adversarial_forward_only,1200,24,24,0-20,5,1.0,sequential_evalue,martingale_evalue,0.0,33.639661470019554,0.0,-0.14893015252652006,3.6731050703553008,5.972933456622135,-6.273717778163103,0.0016666666666666668,0.0016666666666666668,0.0,0.0008333333333333334,0.0,0.022222222222222143,0.0008333333333333334,0.0016666666666666668,0.004166666666666667,0.004166666666666667,0,0.0,1193,0.9941666666666666,6,0.005,1,0.0008333333333333334,0,0.0,0,0.0,106,f930a51c1c594275
opposite_direction,endpoint_injected_positive,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.383679799342588,60.0,59.93070462676763,3.770719373851181,66.4085036891743,53.30190445684063,0.0,0.0,0.0,0.0025,0.0,0.021874999999999978,0.0025,1.0,0.005,0.005833333333333334,0,0.0,0,0.0,10,0.008333333333333333,3,0.0025,1187,0.9891666666666666,0,0.0,107,f930a51c1c594275
