collider_gamma,median_beta_hat,retention_imbalance_med,retention_fire_rate,materiality_pass_rate,interaction_fire_rate,gate_pass_rate,support_rate,selection_limited_rate
-0.5,-15.92904582543086,0.024826388888888884,0.0,0.055,1.0,0.9090909090909091,0.0,1.0
-0.9,-24.895313776575154,0.02760416666666668,0.005,0.225,1.0,0.8888888888888888,0.0,1.0
-1.4,-31.077728903515734,0.029513888888888895,0.01,0.515,1.0,0.9805825242718447,0.0,1.0
-2.0,-34.596016680211235,0.032986111111111105,0.02,0.73,1.0,0.9726027397260274,0.0,1.0
-2.6,-36.68622578799963,0.03402777777777774,0.02,0.78,1.0,0.9935897435897436,0.0,0.99
-3.2,-38.04962795906457,0.036111111111111094,0.02,0.875,1.0,1.0,0.0,0.99
