adequacy_id,run_hash,route,direction,beta_inj,delta,beta_min_med,delta_over_beta_min,M,false_adequacy_n,false_adequacy_rate,pointwise_wilson95_low,pointwise_wilson95_high,simultaneous_cp_upper,envelope_simultaneous_cp_upper,p_fa_max,envelope_pass,certified_delta_direction,lower_grid_censored,support_n,support_rate,opposite_direction_n,opposite_direction_rate,inconclusive_n,inconclusive_rate,selection_limited_n,selection_limited_rate,diagnostic_failure_n,diagnostic_failure_rate,base_seed,source_raw_csv,source_raw_sha256
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,10.0,10.0,28.994768519003053,0.3448898029120681,1200,109,0.09083333333333334,0.07585322452274126,0.10842474430383013,0.1185632735694144,0.1185632735694144,0.05,False,15.0,False,0,0.0,0,0.0,1083,0.9025,7,0.005833333333333334,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_10.csv,4188a28c3eca4e7a16470ea960524de8d6390f92abd255ca39c6c2d8da83ed12
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,15.0,15.0,29.076788843415734,0.5158753974098712,1200,4,0.0033333333333333335,0.0012970085081069314,0.008539385423943094,0.012027075574177188,0.012027075574177188,0.05,True,15.0,False,0,0.0,0,0.0,1188,0.99,7,0.005833333333333334,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_15.csv,9958a1f8e66990203bedfd424059120ec60c68b7732ac971f6dfb484094ab4c6
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,20.0,20.0,29.207558701108873,0.6847542516191432,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,0,0.0,1192,0.9933333333333333,7,0.005833333333333334,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_20.csv,8fc5343cbc0500e6115561fcb59bb1793f199085b83163acff8f1d62241f883f
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,30.0,30.0,29.557314187924227,1.0149772002036854,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,73,0.060833333333333336,1118,0.9316666666666666,8,0.006666666666666667,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_30.csv,bdcd2cfa0d92a4dab8ff6a8b320bb7bf12ff5cae0e0a68d21be76dfbb0755e79
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,40.0,40.0,30.05104046977836,1.3310687209059227,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,974,0.8116666666666666,217,0.18083333333333335,8,0.006666666666666667,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_40.csv,0d28878e7e25ded249d086c67d1aaad889fef1980992fa10bf0efd571ad4d9cd
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,50.0,50.0,30.668984095911192,1.6303115826606736,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,1191,0.9925,0,0.0,8,0.006666666666666667,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_50.csv,1ec66e1168921cc1e3825f29a9c378e5bd9f306fb46321074abc5ad49760ba6b
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,60.0,60.0,31.417139459460454,1.9097855830388963,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,1191,0.9925,0,0.0,8,0.006666666666666667,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_60.csv,3d120063a567c4ecc9ac6e66a3e4b821dfa6d6f2b685b21586f077a3eb70a39e
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,75.0,75.0,32.73621113111926,2.2910409423864113,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,1189,0.9908333333333333,0,0.0,10,0.008333333333333333,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_75.csv,d05ee8470d9130defe1b9461254894b3885f933300d1e2e9f672a98a30e303cb
adequacy_498657101acbb4e6,0cd4cac11153c546,assignment_isolation,positive,90.0,90.0,34.289320111110655,2.6247239580243993,1200,0,0.0,2.1614849653992331e-19,0.003191000602734924,0.005555023252772105,0.005555023252772105,0.05,True,15.0,False,0,0.0,1188,0.99,0,0.0,11,0.009166666666666667,1,0.0008333333333333334,107,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_assignment_isolation_positive_delta_90.csv,6e2450e57200120e8f27b840fbca6e0edb2e7d8aef251eadb84a42666105de82
adequacy_498657101acbb4e6,0cd4cac11153c546,sequential_evalue,negative,-5.0,5.0,33.89589313268682,0.14751049575319644,1200,1133,0.9441666666666667,0.9297022795287673,0.9557963816024698,0.9622157863815137,0.9622157863815137,0.05,False,30.0,False,0,0.0,0,0.0,56,0.04666666666666667,10,0.008333333333333333,1,0.0008333333333333334,106,auxiliary/adequacy_498657101acbb4e6/raw/adequacy_sequential_evalue_negative_delta_5.csv,d8579837cb60a85bf4f42b7fc7d0ca26e8ee3ad156f13148342cd77f467269a6
