scenario,generator,M,P,trials_per_bin,delay_support_ms,n_bins,sigma_resid,inference_route,calibration,route_invalid_rate,beta_min_med,beta_inj,mean_beta_hat,sd_beta_hat,median_ucb,median_lcb,calib_pass_rate,rand_pass_rate,positive_diagnostic_pass_rate,materiality_pass_rate,component_disagreement_rate,leak_fire_rate,delivery_fire_rate,retention_imbalance_med,retention_fire_rate,gate_applicable_rate,gate_pass_rate,gate_pass_given_applicable_rate,collider_inter_fire_rate,collider_inter_invalid_rate,collider_smd_fire_rate,collider_invalid_rate,collider_fire_rate,N_estimable_med,nonestimable_fraction_med,leverage_failure_rate,estimability_summary_fire_rate,estimability_conclusion_change_rate,support_n,support_rate,null_n,null_rate,selection_limited_n,selection_limited_rate,diagnostic_failure_n,diagnostic_failure_rate,opposite_direction_n,opposite_direction_rate,inconclusive_n,inconclusive_rate,base_seed,run_hash
clean_null,forward_only,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,28.806129964129994,0.0,0.00017481451303235455,2.9357504441747415,4.963001200224121,-5.176658644427168,0.043333333333333335,0.043333333333333335,0.055,0.0,0.09833333333333333,0.0,0.0,0.021874999999999978,0.0,0.0,0.0008333333333333334,,0.005833333333333334,0.0,0.0016666666666666668,0.0,0.0075,24.0,0.0,0.0,0.0,0.0,0,0.0,1073,0.8941666666666667,9,0.0075,0,0.0,0,0.0,118,0.09833333333333333,101,0cd4cac11153c546
injected_residual,endpoint_injected,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.419135621074048,-60.0,-60.070990484981834,3.8514647970906006,-53.459087045845415,-66.69598917022145,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.022222222222222143,0.0016666666666666668,1.0,1.0,1.0,0.005,0.0,0.0025,0.0,0.0075,24.0,0.0,0.0,0.0,0.0,1189,0.9908333333333333,0,0.0,11,0.009166666666666667,0,0.0,0,0.0,0,0.0,102,0cd4cac11153c546
leakage,forward_only_with_leak,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,33.61729279291152,0.0,-84.89912169055451,3.0888047262725986,-79.89659991594633,-89.99251213013744,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.022222222222222254,0.0016666666666666668,1.0,1.0,1.0,0.006666666666666667,0.0,0.0008333333333333334,0.0,0.0075,24.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1200,1.0,0,0.0,0,0.0,103,0cd4cac11153c546
selection_standard,forward_only_monotone_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,33.43087167191486,0.0,-37.59064580229231,3.2394028499803196,-31.506703273539514,-43.69273521421337,1.0,1.0,0.0,0.295,0.705,0.0033333333333333335,0.0,0.16493055555555558,1.0,0.295,1.0,1.0,1.0,0.0,1.0,0.0,1.0,21.0,0.125,0.9416666666666667,0.94,0.9408333333333333,0,0.0,0,0.0,1196,0.9966666666666667,4,0.0033333333333333335,0,0.0,0,0.0,104,0cd4cac11153c546
collider_selection,forward_only_collider_selection,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,17.544270987322555,0.0,-35.01920867264252,6.251194855782925,-23.119062960836736,-47.007270852041685,0.9975,0.9975,0.0,0.73,0.2675,0.0008333333333333334,0.0,0.03229166666666666,0.009166666666666667,0.73,0.955,0.9931506849315068,1.0,0.0,1.0,0.0,1.0,8.0,0.6666666666666666,1.0,0.9958333333333333,0.9983333333333333,0,0.0,0,0.0,1199,0.9991666666666666,1,0.0008333333333333334,0,0.0,0,0.0,105,0cd4cac11153c546
adversarial_null,adversarial_forward_only,1200,24,24,0-20,5,1.0,sequential_evalue,martingale_evalue,0.0,33.82305867301932,0.0,0.07849396623221752,3.6571920503242366,6.223161629292905,-5.884565732927944,0.0008333333333333334,0.0008333333333333334,0.0008333333333333334,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.02256944444444442,0.0016666666666666668,0.0,0.0,,0.0075,0.0,0.0016666666666666668,0.0,0.008333333333333333,24.0,0.0,0.0,0.0,0.0,0,0.0,1185,0.9875,12,0.01,1,0.0008333333333333334,0,0.0,2,0.0016666666666666668,106,0cd4cac11153c546
opposite_direction,endpoint_injected_positive,1200,24,24,0-20,5,1.0,assignment_isolation,plus_one_randomisation,0.0,31.417139459460454,60.0,59.99781504398705,3.8247683913223085,66.45426158869587,53.46634913387766,0.0,0.0,1.0,0.0,0.0,0.0008333333333333334,0.0,0.02187500000000009,0.0008333333333333334,1.0,1.0,1.0,0.005833333333333334,0.0,0.0,0.0,0.005833333333333334,24.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,8,0.006666666666666667,1,0.0008333333333333334,1191,0.9925,0,0.0,107,0cd4cac11153c546
