collider_gamma,median_beta_hat,retention_imbalance_med,retention_fire_rate,materiality_pass_rate,interaction_fire_rate,gate_pass_rate,support_rate,selection_limited_rate
-0.5,-17.449329964644384,0.02958333333333335,0.0,0.005,1.0,0.035,0.0,0.005
-0.9,-25.727970883488705,0.029166666666666674,0.005,0.26,1.0,0.49,0.0,0.26
-1.4,-31.47513156011427,0.03208333333333335,0.0,0.79,1.0,0.9,0.0,0.79
-2.0,-34.994447381327646,0.036250000000000004,0.005,0.98,1.0,0.97,0.0,0.98
-2.6,-36.804715984088624,0.03729166666666672,0.005,0.995,1.0,1.0,0.0,0.995
-3.2,-38.07635051944706,0.0383333333333333,0.005,1.0,1.0,1.0,0.0,1.0
