cell_id,generator_family,inference_route,M,adequate_n,adequate_rate,adequate_wilson95_low,adequate_wilson95_high,component_disagreement_n,component_disagreement_rate,base_seed,support_n,support_rate,opposite_n,opposite_rate,selection_limited_n,selection_limited_rate,diagnostic_failure_n,diagnostic_failure_rate,inconclusive_n,inconclusive_rate
clean_assignment_isolation,clean,assignment_isolation,1200,1064,0.8866666666666667,0.8674833702221277,0.9033822559784239,128,0.10666666666666667,1201,0,0.0,0,0.0,10,0.008333333333333333,0,0.0,126,0.105
clean_sequential_evalue,clean,sequential_evalue,1200,1185,0.9875,0.9794784112663455,0.992410363145988,5,0.004166666666666667,1201,0,0.0,0,0.0,10,0.008333333333333333,0,0.0,5,0.004166666666666667
adversarial_sequential_evalue,adversarial,sequential_evalue,1200,1193,0.9941666666666666,0.9880080606189062,0.9971715004520572,2,0.0016666666666666668,1202,0,0.0,0,0.0,4,0.0033333333333333335,1,0.0008333333333333334,2,0.0016666666666666668
