replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-7.590908562074102,3.4366525232935943,-0.8700110787255255,-13.433819620743424,28.539171093065477,0.008,0.993,0.008,0.993,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007101828362457645,24,24,24,0,0.0,{},0.8017933723196882,0.6908914728682171,0.0,False,True,False,False,True,False,0.0,-0.8700110787255255,-13.433819620743426,-0.8700110787255255,94.83333333333333,0.9868747548112271,0.013388546595696887,False,0.502098627512795,False,0.027430555555555625,False,False,0.0603739864340203,0.027430555555555625,False,False,-0.9316433216513226,0.3515208866977303,True,False,0.08957638810934132,0.4672883178117491,True,False,-0.6872824437766861,False,False,inconclusive
1,assignment_isolation,plus_one_randomisation,True,ok,-14.603647931649562,3.3305381677997015,-8.9544598861218,-20.205830908641037,28.50157657909411,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0071297929697194595,24,24,24,0,0.0,{},0.81872852233677,0.7454071969696969,0.0,False,True,False,False,True,False,0.0,-8.9544598861218,-20.205830908641037,-8.9544598861218,96.20833333333333,0.9966029149645588,0.037981830808210805,False,0.4962097859805187,False,0.048958333333333326,False,False,0.12978702570094472,0.048958333333333326,True,False,-0.9571762354105072,0.33847830980411064,True,False,0.14474628587192714,0.14499756726206786,True,False,-1.7002132074517733,False,False,inconclusive
2,assignment_isolation,plus_one_randomisation,True,ok,-11.3334111800428,4.064074605262356,-4.049474725157698,-18.045603920112995,29.37889236355368,0.002,0.999,0.002,0.999,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0070783533403747986,24,24,24,0,0.0,{},0.7987280701754385,0.7370879120879119,0.0,False,True,False,False,True,False,0.0,-4.049474725157698,-18.045603920112995,-4.049474725157698,96.41666666666667,1.0209717301975838,0.015615412529948029,False,0.5213177718898778,False,0.012499999999999956,False,False,0.0933417696743259,0.012499999999999956,True,False,-1.3504788554846217,0.17686243164611426,True,False,0.16649383061035072,0.2724971129146695,True,False,-0.8456394592134048,False,False,inconclusive
3,assignment_isolation,plus_one_randomisation,True,ok,-9.263332829599825,3.8089944491407253,-2.8754581235701613,-16.064647209567127,29.29877482311218,0.002,0.999,0.002,0.999,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007135627057999846,24,24,24,0,0.0,{},0.8047371565113499,0.7447010869565218,0.0,False,True,False,False,True,False,0.0,-2.875458123570161,-16.064647209567127,-2.875458123570161,94.83333333333333,1.017963288402798,0.017199414096328233,False,0.5238406088461296,False,0.024652777777777746,False,False,0.07370263186348147,0.024652777777777746,False,False,0.5338123203372964,0.5934713889255752,True,False,0.14678075396810625,0.1797980659880973,True,False,-0.508584774693851,False,False,inconclusive
4,assignment_isolation,plus_one_randomisation,True,ok,-15.091342189107229,4.8333387652405415,-7.065055761599751,-23.050288714030856,29.96971240266825,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006984812103101121,24,24,24,0,0.0,{},0.7946211734693877,0.6909574468085108,0.0,False,True,False,False,True,False,0.0,-7.065055761599751,-23.050288714030856,-7.065055761599751,97.29166666666667,1.0323931850176966,0.0012223492343731732,False,0.5294019806767872,False,0.03472222222222221,False,False,0.12941379216703197,0.03472222222222221,True,False,-1.0426357344031092,0.2971170324712601,True,False,0.246375396624485,0.06627261930413751,True,False,-2.890747563075211,False,False,inconclusive
5,assignment_isolation,plus_one_randomisation,True,ok,-11.189926589207714,3.5323896847947975,-4.84774959549333,-16.995286128523873,28.87685200021546,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007072881291374491,24,24,24,0,0.0,{},0.7941585913910538,0.7372340425531914,0.0,False,True,False,False,True,False,0.0,-4.84774959549333,-16.995286128523873,-4.84774959549333,96.29166666666667,1.002098869856356,0.006449453688995309,False,0.500534669204472,False,0.032638888888888884,False,False,0.09400069366517477,0.032638888888888884,True,False,1.1082840298586663,0.26773917032920336,True,False,0.11806947593361845,0.2076667289361725,True,False,-1.208067633268054,False,False,inconclusive
6,assignment_isolation,plus_one_randomisation,True,ok,-4.713370063246892,4.076655639876199,1.5330438430930213,-11.732618390253393,29.444168247989232,0.051,0.95,0.051,0.95,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007070454939912283,24,24,24,0,0.0,{},0.7865618556701033,0.6992673992673993,0.0,False,True,False,False,True,False,0.0,1.5330438430930213,-11.732618390253393,1.5330438430930213,94.79166666666667,1.013448615018745,0.02715853645705779,False,0.5366302109608269,False,0.02604166666666674,False,False,0.03336189058611714,0.02604166666666674,False,False,-1.5778804772867554,0.1145930708189469,True,False,0.16427952588226052,0.03830330895246304,True,False,-1.7466984022526686,False,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,-12.428003902953625,3.2331504502347133,-7.061289405631466,-17.96427309314794,29.30294153588739,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007060093572928723,24,24,24,0,0.0,{},0.7929143460915589,0.7159003831417624,0.0,False,True,False,False,True,False,0.0,-7.061289405631466,-17.96427309314794,-7.061289405631466,95.45833333333333,1.0106449350121203,0.0056629118528832975,False,0.5472723771849061,False,0.024652777777777746,False,False,0.10541765306175632,0.024652777777777746,True,False,-0.915768467986554,0.35978834517031866,True,False,0.1219590225519847,0.14989685029182662,True,False,-2.443018278336791,False,False,inconclusive
8,assignment_isolation,plus_one_randomisation,True,ok,-6.502312069601139,3.6079395133338434,0.6646111555650531,-12.251281642871954,28.70603247999846,0.011,0.99,0.011,0.99,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007090119159964062,24,24,24,0,0.0,{},0.8268795289855072,0.6954212454212452,0.0,False,True,False,False,True,False,0.0,0.6646111555650531,-12.251281642871954,0.6646111555650531,97.0,1.0022650298098255,0.03678058073094969,False,0.5172412819022736,False,0.023263888888888862,False,False,0.04935645122960306,0.023263888888888862,False,False,0.1951521013716139,0.8452738756000489,True,False,0.22583154256038251,0.03032421007676639,True,False,-1.044608890437889,False,False,inconclusive
9,assignment_isolation,plus_one_randomisation,True,ok,-6.700918102854199,3.456254511501554,-0.6630309382702482,-12.272403317868685,27.93670537611829,0.005,0.996,0.005,0.996,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0070952125204729165,24,24,24,0,0.0,{},0.804904990842491,0.7053370786516855,0.0,False,True,False,False,True,False,0.0,-0.6630309382702482,-12.272403317868685,-0.6630309382702482,95.20833333333333,0.9670481125912268,0.03184989837034949,False,0.49947958121672537,False,0.02083333333333337,False,False,0.0533525001731757,0.02083333333333337,False,False,-1.0592469890733087,0.2894873102892067,True,False,0.24773689154197326,0.033289929549481,True,False,-1.1703568641497768,False,False,inconclusive
10,assignment_isolation,plus_one_randomisation,True,ok,-11.024534378310754,4.345088657581265,-4.00211887862525,-19.755248408132303,28.79305377340208,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007072830091597575,24,24,24,0,0.0,{},0.7884963768115945,0.7207880434782608,0.0,False,True,False,False,True,False,0.0,-4.00211887862525,-19.755248408132303,-4.00211887862525,95.79166666666667,0.9965860936211904,0.003209827064053914,False,0.5029883347477725,False,0.019444444444444486,False,False,0.09295889608026205,0.019444444444444486,True,False,0.6458603523437286,0.5183697982701428,True,False,0.11761889922993633,0.3637462425310801,True,False,-2.4069223071368278,False,False,inconclusive
11,assignment_isolation,plus_one_randomisation,True,ok,-10.353876368495785,4.133920151343675,-1.6966340615650584,-16.592202608182752,28.10906850926596,0.002,0.999,0.002,0.999,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0070463080694538206,24,24,24,0,0.0,{},0.7978949652777778,0.6794061302681993,0.0,False,True,False,False,True,False,0.0,-1.6966340615650584,-16.592202608182752,-1.6966340615650584,96.83333333333333,0.9745194832711539,0.047246282930753926,False,0.5058598308950677,False,0.014236111111111116,False,False,0.08860249770504076,0.014236111111111116,True,False,-0.29574910433390145,0.7674216938666818,True,False,0.1208904690348629,0.1081157946430073,True,False,-2.452495092322829,False,False,inconclusive
