replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,33.681952033363025,5.223893248919952,44.65636414664566,25.470747641946673,34.205077728232624,1.0,5.167830881846823e-05,,,1.0,5.167830881846823e-05,-2.2658050792958573,9.87047242312622,2234,24,"[456, 466, 471, 462, 379]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006953633679347516,24,24,24,0,0.0,{},0.7897844405745207,0.702714758733066,0.0,False,True,False,False,False,False,0.0,44.65636414664565,25.470747641946673,44.65636414664565,93.08333333333333,1.147382859182623,0.02543819405550866,False,1.2519206105746443,False,0.011111111111111072,False,False,0.28214971545133505,0.011111111111111072,True,False,0.6271131668447164,0.5305850568400156,True,False,0.1469528129743542,0.20277920256394324,True,False,5.696490216078716,False,False,inconclusive
1,sequential_evalue,martingale_evalue,True,ok,38.11552793445617,4.593154707452371,48.31034014652411,30.959885244684262,35.631739532424994,1.0,9.82900267657242e-06,,,1.0,9.82900267657242e-06,-2.519791388857132,11.53017308606601,2231,24,"[490, 457, 446, 462, 376]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006995262995981094,24,24,24,0,0.0,{},0.7874879218088942,0.6895779219092398,0.0,False,True,False,False,False,False,0.0,48.31034014652411,30.959885244684262,48.31034014652411,92.95833333333333,1.2015870542082145,0.0021842472942162046,False,1.278175941278413,False,0.02777777777777779,False,False,0.3070460466291163,0.02777777777777779,True,False,0.031584170767465926,0.9748036669901754,True,False,0.26952029885738565,0.024778024044428273,True,False,5.901258305704066,False,False,inconclusive
2,sequential_evalue,martingale_evalue,True,ok,38.94898287478426,4.605130278882314,47.160517999763634,31.287554277282016,35.80299699667557,1.0,1.3136025777047182e-08,,,1.0,1.3136025777047182e-08,-2.5024750477507007,18.147907321917376,2199,24,"[444, 463, 478, 451, 363]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006927022085119224,24,24,24,0,0.0,{},0.7578216963921108,0.7100165412489661,0.0,False,True,False,False,False,False,0.0,47.160517999763634,31.287554277282016,47.160517999763634,91.625,1.1869787732218744,0.0031286536023899187,False,1.2478788873365518,False,0.02256944444444453,False,False,0.3184381640154763,0.02256944444444453,True,False,-0.019217964942302847,0.9846672262976313,True,False,0.22741904630902746,0.12909654568645954,True,False,7.784500170965404,False,False,inconclusive
3,sequential_evalue,martingale_evalue,True,ok,33.92938157638778,3.588711711829396,39.96241324551864,27.78557458655151,35.35044876058064,1.0,0.0002451802068881413,,,1.0,0.0002451802068881413,-2.3962844583086005,8.31351707947634,2210,24,"[446, 464, 458, 468, 374]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.0070334426553758655,24,24,24,0,0.0,{},0.7727151741081945,0.7022909920522414,0.0,False,True,False,False,False,False,0.0,39.96241324551864,27.78557458655151,39.96241324551864,92.08333333333333,1.192953189484043,0.03110432159057924,False,1.3030984763052464,False,0.03541666666666665,False,False,0.27246142449879446,0.03541666666666665,True,False,-1.3316500790587147,0.18297520056906447,True,False,0.12124937330239761,0.35457049607277513,True,False,4.59891875810751,False,False,inconclusive
4,sequential_evalue,martingale_evalue,True,ok,42.19713871523692,4.902768048427306,50.58001616570982,34.10080612846292,35.20868852366945,1.0,1.4498572631989497e-07,,,1.0,1.4498572631989497e-07,-2.6084182205239452,15.746630538544428,2189,24,"[449, 457, 457, 470, 356]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.00704746819636571,24,24,24,0,0.0,{},0.7731229554988713,0.6400884327890853,0.0,False,True,False,False,False,False,0.0,50.58001616570982,34.10080612846292,50.58001616570982,91.20833333333333,1.1848687281186665,0.025797502038995057,False,1.298400056968049,False,0.012499999999999956,False,False,0.34724966123642753,0.012499999999999956,True,False,-1.3150020069701027,0.18850922797308,True,False,0.20705119099282826,0.02714525655836974,True,False,7.653459848371846,False,False,inconclusive
5,sequential_evalue,martingale_evalue,True,ok,43.577712684098,5.1270501524230285,53.589664666435205,35.840653229169504,34.66125430767468,1.0,3.2852599346068862e-06,,,1.0,3.2852599346068862e-06,-2.6645161190783817,12.626064781423922,2213,24,"[456, 473, 465, 456, 363]","[5, 5, 5, 5, 4]",False,True,False,True,False,0.007071067811865475,0.0069607562527029,24,24,24,0,0.0,{},0.7714062935074517,0.6439665748975673,0.0,False,True,False,True,False,False,0.0,53.589664666435205,35.840653229169504,53.589664666435205,92.20833333333333,1.1583926449310968,0.003766425062010796,False,1.2043548146341874,False,0.029861111111111116,False,False,0.3674958420248542,0.029861111111111116,True,True,0.9781744851422159,0.3279880334631152,True,False,0.17918635728578083,0.04516975229693458,True,False,8.275695304472926,False,False,opposite_direction
6,sequential_evalue,martingale_evalue,True,ok,43.67673585384409,3.7869737107275867,50.295360276490996,37.011708721743695,35.531308208124905,1.0,7.460719672187503e-10,,,1.0,7.460719672187503e-10,-2.6358897861962918,21.01619904957518,2222,24,"[473, 449, 465, 469, 366]","[5, 5, 5, 5, 4]",False,True,False,True,False,0.007071067811865475,0.006924795833233841,24,24,24,0,0.0,{},0.7773576478931339,0.6910840586909529,0.0,False,True,False,True,False,False,0.0,50.29536027649099,37.011708721743695,50.29536027649099,92.58333333333333,1.1837352542503345,0.011509005931539244,False,1.281606416361645,False,0.009027777777777746,False,False,0.3602521434198374,0.009027777777777746,True,True,0.5755159950476236,0.5649423762071264,True,False,0.1366382256370419,0.10473738689747698,True,False,8.827714694022605,False,False,opposite_direction
7,sequential_evalue,martingale_evalue,True,ok,40.47691691102688,4.658726403801885,48.77096602763595,32.86521391678662,36.1302927957373,1.0,3.065928164529478e-05,,,1.0,3.065928164529478e-05,-2.5970236291788593,10.392575114498452,2220,24,"[464, 458, 460, 467, 371]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006968208015090551,24,24,24,0,0.0,{},0.7829825887960886,0.72039683519163,0.0,False,True,False,False,False,False,0.0,48.77096602763595,32.86521391678662,48.77096602763595,92.5,1.2106914029460678,0.011448233670016041,False,1.3012150501224915,False,0.036111111111111205,False,False,0.3248613442059005,0.036111111111111205,True,False,-2.0856993851902117,0.037005862175351144,True,False,0.1795148323916382,0.006034576189380101,True,False,5.370664756063457,False,False,inconclusive
8,sequential_evalue,martingale_evalue,True,ok,37.16321120042518,3.8056964630649106,43.606661902398656,30.898347190491258,34.96999919442734,1.0,2.5858710668500725e-06,,,1.0,2.5858710668500725e-06,-2.4133109048266914,12.865448136997523,2229,24,"[454, 458, 459, 488, 370]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.007006337679706271,24,24,24,0,0.0,{},0.7851452992002739,0.6770677724682449,0.0,False,True,False,False,False,False,0.0,43.606661902398656,30.89834719049126,43.606661902398656,92.875,1.1806090416010424,0.0028447869614461473,False,1.3572313886465937,False,0.01909722222222232,False,False,0.30450246508012435,0.01909722222222232,True,False,0.5702518057037654,0.5685069234776219,True,False,0.1580954253819275,0.40889180739908393,True,False,6.226253126101567,False,False,inconclusive
9,sequential_evalue,martingale_evalue,True,ok,48.358492280679826,3.6250258533187627,54.800698812414794,42.380255903619386,34.913456131650356,1.0,3.310597206935177e-13,,,1.0,3.310597206935177e-13,-2.7325253518735755,28.73647761075232,2223,24,"[468, 463, 446, 470, 376]","[5, 5, 5, 5, 4]",False,True,False,True,False,0.007071067811865475,0.006898080545028518,24,24,24,0,0.0,{},0.7767964230348361,0.7013708441365648,0.0,False,True,False,True,False,False,0.0,54.800698812414794,42.380255903619386,54.800698812414794,92.625,1.1589246979763679,0.021776408844961518,False,1.2572242776194527,False,0.025000000000000022,False,False,0.40773609138529393,0.025000000000000022,True,True,-0.308804687799072,0.7574701029716591,True,False,0.08169769088265026,0.21968172960393137,True,False,8.20067300979088,False,False,opposite_direction
