replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,-11.723991299972072,4.952070054457496,-1.314094764856332,-19.2706411520233,33.57178718468114,0.004639149959460357,1.0,,,0.004639149959460357,1.0,5.373224127919013,-1.5148388181938153,2234,24,"[456, 466, 471, 462, 379]","[5, 5, 5, 5, 4]",True,False,False,False,True,0.007071067811865475,0.006953633679347516,24,24,24,0,0.0,{},0.7897844405745207,0.702714758733066,0.0,False,True,False,False,True,False,0.0,-1.314094764856332,-19.2706411520233,-1.314094764856332,93.08333333333333,1.1261396180379415,0.02543819405550866,False,1.2519206105746443,False,0.011111111111111072,False,False,0.08432445704449958,0.011111111111111072,True,False,0.7433498725138572,0.4572698845483828,True,False,0.1469528129743542,0.20277920256394324,True,False,-1.599163072797875,False,False,inconclusive
1,sequential_evalue,martingale_evalue,True,ok,-6.733953663991631,4.57642556367965,3.3993402154492642,-13.882686796223325,34.79138194545953,1.0,1.0,,,1.0,1.0,-0.18098143547172074,-1.3393947430032003,2231,24,"[490, 457, 446, 462, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006995262995981094,24,24,24,0,0.0,{},0.7874879218088942,0.6895779219092398,0.0,False,True,False,False,True,False,0.0,3.3993402154492642,-13.882686796223325,3.3993402154492642,92.95833333333333,1.1732481964748032,0.0021842472942162046,False,1.278175941278413,False,0.02777777777777779,False,False,0.04164688702383559,0.02777777777777779,False,False,-0.18217512653524687,0.8554452924953277,True,False,0.2695202988573857,0.024778024044428238,True,False,-1.6528950489312264,False,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,-6.019688110893072,4.48627207800931,1.9227034295068837,-13.85242226609277,34.949803252102875,0.66728635013149,1.0,,,0.66728635013149,1.0,0.4045360146519535,-0.7920046873801019,2199,24,"[444, 463, 478, 451, 363]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006927022085119224,24,24,24,0,0.0,{},0.7578216963921108,0.7100165412489661,0.0,False,True,False,False,True,False,0.0,1.9227034295068837,-13.852422266092768,1.9227034295068837,91.625,1.158692793018946,0.0031286536023899187,False,1.2478788873365518,False,0.02256944444444453,False,False,0.037039684209305604,0.02256944444444453,False,False,-0.18128594195334444,0.8561431399025792,True,False,0.22741904630902737,0.12909654568645967,True,False,0.5472259856871685,False,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,-10.429516032524067,3.3038796439155504,-5.012136149929039,-16.20736573810168,34.67893098805947,0.6858943788905878,1.0,,,0.6858943788905878,1.0,0.3770316297421267,-1.5411149211171002,2210,24,"[446, 464, 458, 468, 374]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0070334426553758655,24,24,24,0,0.0,{},0.7727151741081945,0.7022909920522414,0.0,False,True,False,False,True,False,0.0,-5.012136149929039,-16.20736573810168,-5.012136149929039,92.08333333333333,1.1702918288334352,0.03110432159057924,False,1.3030984763052464,False,0.03541666666666665,False,False,0.07010032101385393,0.03541666666666665,False,False,-0.9195330157469302,0.357816844825271,True,False,0.1212493733023976,0.35457049607277513,True,False,-2.932756218585242,False,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,-2.5930869833367094,4.822599242958826,5.251498774162938,-10.953358009441105,33.98913187314555,1.0,1.0,,,1.0,1.0,-0.31734184389127096,-1.0071663310271006,2189,24,"[449, 457, 457, 470, 356]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.00704746819636571,24,24,24,0,0.0,{},0.7731229554988713,0.6400884327890853,0.0,False,True,False,False,True,False,0.0,5.251498774162938,-10.953358009441105,5.251498774162938,91.20833333333333,1.143827309140408,0.025797502038995057,False,1.298400056968049,False,0.012499999999999956,False,False,0.014133377305107893,0.012499999999999956,False,False,-1.233416593206241,0.21742037736739794,True,False,0.20705119099282818,0.02714525655836974,True,False,-0.002208458961644145,False,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,-2.461376554924992,4.847773791516402,6.792197621792303,-9.727075048076992,33.47191947283847,1.0,1.0,,,1.0,1.0,-0.4104661331335375,-1.0573950662358071,2213,24,"[456, 473, 465, 456, 363]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069607562527029,24,24,24,0,0.0,{},0.7714062935074517,0.6439665748975673,0.0,False,True,False,False,True,False,0.0,6.792197621792302,-9.727075048076992,6.792197621792302,92.20833333333333,1.1186446106330548,0.003766425062010796,False,1.2043548146341874,False,0.029861111111111116,False,False,0.013657067549946498,0.029861111111111116,False,False,0.8261439106598292,0.40872246123146294,True,False,0.17918635728578083,0.04516975229693471,True,False,0.3534514046252388,False,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-2.2469602438993515,3.6198906824919495,3.8995498777796427,-8.892589945869684,34.325609362221016,1.0,1.0,,,1.0,1.0,-0.5470326084674674,-0.8492654202749136,2222,24,"[473, 449, 465, 469, 366]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006924795833233841,24,24,24,0,0.0,{},0.7773576478931339,0.6910840586909529,0.0,False,True,False,False,True,False,0.0,3.8995498777796427,-8.892589945869684,3.8995498777796427,92.58333333333333,1.143567067322193,0.011509005931539244,False,1.281606416361645,False,0.009027777777777746,False,False,0.011996338632424193,0.009027777777777746,False,False,0.6594109807908838,0.509631892690484,True,False,0.13663822563704192,0.10473738689747698,True,False,1.5308921777605036,False,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,-5.169587771895666,4.4631523581614205,2.48274437403321,-12.765199275391236,35.03967650033042,1.0,1.0,,,1.0,1.0,-0.609276676510933,-1.3424933395355922,2220,24,"[464, 458, 460, 467, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006968208015090551,24,24,24,0,0.0,{},0.7829825887960886,0.72039683519163,0.0,False,True,False,False,True,False,0.0,2.48274437403321,-12.765199275391234,2.48274437403321,92.5,1.1741458985897406,0.011448233670016041,False,1.3012150501224915,False,0.036111111111111205,False,False,0.030506661807626498,0.036111111111111205,False,False,-2.051877371325911,0.04018158152928694,True,False,0.1795148323916382,0.006034576189380091,True,False,-1.6895955077443667,False,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,-7.5437535121782675,3.513490586988316,-1.0544371402567458,-13.494710518928212,34.001386449551816,0.2724252886768973,1.0,,,0.2724252886768973,1.0,1.3003908724633393,-1.3123130053943495,2229,24,"[454, 458, 459, 488, 370]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007006337679706271,24,24,24,0,0.0,{},0.7851452992002739,0.6770677724682449,0.0,False,True,False,False,True,False,0.0,-1.0544371402567458,-13.49471051892821,-1.0544371402567458,92.875,1.1479080696035286,0.0028447869614461473,False,1.3572313886465937,False,0.01909722222222232,False,False,0.04886064501935428,0.01909722222222232,False,False,0.5181830289522603,0.6043305744610794,True,False,0.15809542538192753,0.40889180739908393,True,False,-1.3307590210319646,False,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,1.8790015498591532,3.0430612587980455,7.443214883654039,-3.0085450712318007,33.50417378618845,1.0,1.0,,,1.0,1.0,-0.8551831002161936,-0.16318584374750827,2223,24,"[468, 463, 446, 470, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006898080545028518,24,24,24,0,0.0,{},0.7767964230348361,0.7013708441365648,0.0,False,True,False,False,True,False,0.0,7.443214883654039,-3.0085450712318007,7.443214883654039,92.625,1.1121446796814372,0.021776408844961518,False,1.2572242776194527,False,0.025000000000000022,False,False,0.01009723133473052,0.025000000000000022,False,False,-0.3326776907906601,0.7393775914048244,True,False,0.0816976908826503,0.21968172960393126,True,False,0.9675640273689555,False,False,forward_only_adequate
