scenario,generator,material_departure,direction,beta_inj,false_adequacy_n,M,false_adequacy_rate,wilson95_low,wilson95_high,run_hash,source_csv
injected_residual,endpoint_injected,negative endpoint-level residual,negative,-60.0,75,1200,0.062500,0.050151,0.077641,9d2658d6d147de10,outputs/9d2658d6d147de10/summary/operating_characteristics.csv
opposite_direction,endpoint_injected_positive,positive endpoint-level residual,positive,60.0,60,1200,0.050000,0.039041,0.063831,9d2658d6d147de10,outputs/9d2658d6d147de10/summary/operating_characteristics.csv
